title,artist,genre
Shape of You,Ed Sheeran,Pop
Photograph,Ed Sheeran,Pop
Let it Be,The Beatles,Rock
Hey Jude,The Beatles,Rock
Bohemian Rhapsody,Queen,Rock
Don’t Stop Me Now,Queen,Rock
Blinding Lights,The Weeknd,Pop
Starboy,The Weeknd,Pop
Bad Guy,Billie Eilish,Alternative
Therefore I Am,Billie Eilish,Alternative
My Own Prison,Creed,Unknown
Caramel,Sleep Token,Unknown
One,Creed,Unknown
Creep,Radiohead,"art rock, alternative rock"
Creep - Acoustic,Radiohead,"art rock, alternative rock"
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Unknown
Creep,Stone Temple Pilots,"grunge, alternative rock, post-grunge, rock"
Creep - 2017 Remaster,Stone Temple Pilots,"grunge, alternative rock, post-grunge, rock"
Trap Queen,Fetty Wap,Unknown
Queen of Mean,Sarah Jeffery,Unknown
Queen Of My Double Wide Trailer,Sammy Kershaw,"country, traditional country"
